id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
220913146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-09-13T00:00:00.000,2022 Report Week 37,ETHER CASH SETTLED,146021,CME ,CHI,146 ,ETHER,4125,2678,2913,583,179,151,3440,3647,685,478,4125,2678,2913,583,179,151,3440,3647,685,478,0,0,0,0,0,0,0,0,0,0,-327,-365,-386,44,-53,-47,-374,-389,47,62,100.0,64.9,70.6,14.1,4.3,3.7,83.4,88.4,16.6,11.6,100.0,64.9,70.6,14.1,4.3,3.7,83.4,88.4,16.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,26,24,12,2,2,35,33,56,26,24,12,2,2,35,33,0,0,0,0,0,0,0,0,32.6,39.8,48.3,53.9,29.1,39.8,43.3,53.0,32.6,39.8,48.3,53.9,29.1,39.8,43.3,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220920146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-09-20T00:00:00.000,2022 Report Week 38,ETHER CASH SETTLED,146021,CME ,CHI,146 ,ETHER,4359,3037,2681,577,29,503,3643,3761,716,598,4359,3037,2681,577,29,503,3643,3761,716,598,0,0,0,0,0,0,0,0,0,0,234,359,-232,-6,-150,352,203,114,31,120,100.0,69.7,61.5,13.2,0.7,11.5,83.6,86.3,16.4,13.7,100.0,69.7,61.5,13.2,0.7,11.5,83.6,86.3,16.4,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,26,29,13,1,5,32,44,63,26,29,13,1,5,32,44,0,0,0,0,0,0,0,0,41.4,31.0,55.9,42.9,35.3,30.9,49.2,41.9,41.4,31.0,55.9,42.9,35.3,30.9,49.2,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220927146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-09-27T00:00:00.000,2022 Report Week 39,ETHER CASH SETTLED,146021,CME ,CHI,146 ,ETHER,4687,3262,2841,604,88,617,3954,4062,733,625,4687,3262,2841,604,88,617,3954,4062,733,625,0,0,0,0,0,0,0,0,0,0,328,225,160,27,59,114,311,301,17,27,100.0,69.6,60.6,12.9,1.9,13.2,84.4,86.7,15.6,13.3,100.0,69.6,60.6,12.9,1.9,13.2,84.4,86.7,15.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,24,30,14,2,5,33,45,63,24,30,14,2,5,33,45,0,0,0,0,0,0,0,0,45.1,29.6,58.0,42.3,41.2,29.6,51.7,41.4,45.1,29.6,58.0,42.3,41.2,29.6,51.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
221206146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-12-06T00:00:00.000,2022 Report Week 49,ETHER CASH SETTLED,146021,CME ,CHI,146 ,ETHER,5272,4302,4066,294,0,340,4596,4700,676,572,5272,4302,4066,294,0,340,4596,4700,676,572,0,0,0,0,0,0,0,0,0,0,-375,-353,-200,8,0,-155,-345,-347,-30,-28,100.0,81.6,77.1,5.6,0.0,6.4,87.2,89.2,12.8,10.8,100.0,81.6,77.1,5.6,0.0,6.4,87.2,89.2,12.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,27,34,11,0,4,34,44,67,27,34,11,0,4,34,44,0,0,0,0,0,0,0,0,53.6,33.9,66.9,49.2,53.6,33.9,65.2,49.2,53.6,33.9,66.9,49.2,53.6,33.9,65.2,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
221011146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-10-11T00:00:00.000,2022 Report Week 41,ETHER CASH SETTLED,146021,CME ,CHI,146 ,ETHER,3871,2712,2475,481,0,317,3193,3273,678,598,3871,2712,2475,481,0,317,3193,3273,678,598,0,0,0,0,0,0,0,0,0,0,59,176,40,12,-116,-43,72,9,-13,50,100.0,70.1,63.9,12.4,0.0,8.2,82.5,84.6,17.5,15.4,100.0,70.1,63.9,12.4,0.0,8.2,82.5,84.6,17.5,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,16,33,12,0,3,23,44,55,16,33,12,0,3,23,44,0,0,0,0,0,0,0,0,46.2,19.9,62.9,32.2,43.0,19.8,58.3,32.0,46.2,19.9,62.9,32.2,43.0,19.8,58.3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220906146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-09-06T00:00:00.000,2022 Report Week 36,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,4452,3043,3299,539,232,198,3814,4036,638,416,4452,3043,3299,539,232,198,3814,4036,638,416,0,0,0,0,0,0,0,0,0,0,297,64,353,80,192,-21,336,412,-39,-115,100.0,68.4,74.1,12.1,5.2,4.4,85.7,90.7,14.3,9.3,100.0,68.4,74.1,12.1,5.2,4.4,85.7,90.7,14.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,27,29,12,1,3,35,39,62,27,29,12,1,3,35,39,0,0,0,0,0,0,0,0,30.7,38.4,49.8,52.2,27.9,37.9,46.4,51.2,30.7,38.4,49.8,52.2,27.9,37.9,46.4,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220830146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-08-30T00:00:00.000,2022 Report Week 35,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,4155,2979,2946,459,40,219,3478,3624,677,531,4155,2979,2946,459,40,219,3478,3624,677,531,0,0,0,0,0,0,0,0,0,0,177,1114,886,-856,40,64,298,94,-121,83,100.0,71.7,70.9,11.0,1.0,5.3,83.7,87.2,16.3,12.8,100.0,71.7,70.9,11.0,1.0,5.3,83.7,87.2,16.3,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,25,26,11,1,4,33,36,57,25,26,11,1,4,33,36,0,0,0,0,0,0,0,0,37.2,33.0,52.4,48.4,34.2,32.9,48.8,47.3,37.2,33.0,52.4,48.4,34.2,32.9,48.8,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220823146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-08-23T00:00:00.000,2022 Report Week 34,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3978,1865,2060,1315,0,155,3180,3530,798,448,3978,1865,2060,1315,0,155,3180,3530,798,448,0,0,0,0,0,0,0,0,0,0,-36,-27,-273,167,-146,30,-6,-76,-30,40,100.0,46.9,51.8,33.1,0.0,3.9,79.9,88.7,20.1,11.3,100.0,46.9,51.8,33.1,0.0,3.9,79.9,88.7,20.1,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,25,24,18,0,2,36,35,53,25,24,18,0,2,36,35,0,0,0,0,0,0,0,0,30.2,34.8,44.9,49.9,21.4,24.4,30.5,37.5,30.2,34.8,44.9,49.9,21.4,24.4,30.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220816146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-08-16T00:00:00.000,2022 Report Week 33,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,4014,1892,2333,1148,146,125,3186,3606,828,408,4014,1892,2333,1148,146,125,3186,3606,828,408,0,0,0,0,0,0,0,0,0,0,533,298,272,320,88,-28,706,564,-173,-31,100.0,47.1,58.1,28.6,3.6,3.1,79.4,89.8,20.6,10.2,100.0,47.1,58.1,28.6,3.6,3.1,79.4,89.8,20.6,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,28,22,17,2,1,41,31,55,28,22,17,2,1,41,31,0,0,0,0,0,0,0,0,27.9,34.5,40.9,52.1,20.2,24.5,29.8,40.5,27.9,34.5,40.9,52.1,20.2,24.5,29.8,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220809146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-08-09T00:00:00.000,2022 Report Week 32,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3481,1594,2061,828,58,153,2480,3042,1001,439,3481,1594,2061,828,58,153,2480,3042,1001,439,0,0,0,0,0,0,0,0,0,0,-4,-431,-251,223,-8,-52,-216,-80,212,76,100.0,45.8,59.2,23.8,1.7,4.4,71.2,87.4,28.8,12.6,100.0,45.8,59.2,23.8,1.7,4.4,71.2,87.4,28.8,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,22,22,11,1,2,30,30,49,22,22,11,1,2,30,30,0,0,0,0,0,0,0,0,30.0,24.9,42.5,44.5,22.1,23.8,32.2,41.0,30.0,24.9,42.5,44.5,22.1,23.8,32.2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
